id,createAt,payload,RIGHT,LEFT,temperature,ON/OFF
message_75fadf50-7cb9-435f-a356-f1dd0f355f9a,2023-02-10 10:19:17:945,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,ON
message_d3af4c36-f6a7-4a81-9436-c15950b0471e,2023-02-10 10:20:17:950,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_45c7df3e-02b4-48a5-af47-9d327bfa51cd,2023-02-10 10:21:17:955,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_a8fa07e5-a32d-41b4-bcf5-1ca304d656fc,2023-02-10 10:22:17:950,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_1b260b86-0884-4bde-b5bb-2248f96ef68d,2023-02-10 10:23:17:950,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_6c0b4894-850a-43f8-a30b-b3f8af5b6fcf,2023-02-10 10:24:17:948,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_68a70c7e-ee33-4ffe-ba2e-749fe08fc407,2023-02-10 10:25:17:949,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_d770bed1-29a4-4b72-aefe-504fdcde0705,2023-02-10 10:26:17:944,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_0c359cf5-9b07-4562-aa04-112c0ca71ee3,2023-02-10 10:27:17:951,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_7f58b6d5-2313-466f-b9fe-0bbb1ec70a01,2023-02-10 10:28:17:926,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_23394690-fb1f-46e5-9cae-f085d4a86fd3,2023-02-10 10:29:17:928,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_5a3e109b-eb90-4211-96a5-0d158621dfbd,2023-02-10 10:30:17:926,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_cec68000-45bf-4a0a-ae2a-9e6a0f57d449,2023-02-10 10:31:17:926,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_33bfba34-7c92-4c9b-8893-1d44fa36373f,2023-02-10 10:32:17:933,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_770da32a-7306-45ce-8076-b0d68e36c44f,2023-02-10 10:33:17:925,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_d833b1b7-ba3c-47a9-8d2e-2e1fa5f8912b,2023-02-10 10:34:17:926,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_25c9bcf4-e69f-4266-92ca-cddb68c67b41,2023-02-10 10:35:17:919,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_11c10bcb-6342-4383-bed6-218941a4c457,2023-02-10 10:36:17:920,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_b93de6c8-b0f2-45aa-98d7-d061b0f75f45,2023-02-10 10:36:31:904,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_50571d5a-a877-4509-b86b-3f8f1e6d5551,2023-02-10 10:37:17:919,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_c8df50e8-f06a-484b-8387-82beff1fdb96,2023-02-10 10:38:17:919,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_3da1c565-4c0a-4a3c-9c16-e64ed6c3a8a9,2023-02-10 10:39:17:935,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_ef376835-1249-4d89-a56f-7122ba690d11,2023-02-10 10:40:17:902,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_3504132a-6e2d-4d42-8d9a-1802efb0089a,2023-02-10 10:41:17:903,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_83933bde-114f-4fa9-9e22-cd6b07327641,2023-02-10 10:42:17:906,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
